tooltype;steel;stainless;castiron;aluminum;universal;catnum;invnum;unit;grinded;mfr;holdertype;tipdiamm;tipdiainch;shankdia;pitch;neckdia;tslotdp;toollen;splen;worklen;bladecnt;tiptype;tipsize;material;coating;inserttype;cabinet;qty;issued;avail;minqty;secocab;sandvikcab;kennacab;niagaracab;extcab;sourcetable;subtype
End Mill;1;0;0;0;0;37FQL533;704.1174.2272;inch;Yes;Garant;SK-40;25.4;1;47;N/A;N/A;N/A;152.0;122.0;127.13;8;N/A;N/A;HSS;Aluminium Titanium Nitride;N/A;2_F_11;1;1;0;1;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Sphere Mill;0;0;0;0;1;71ZEG939;724.7048.1067;inch;No;KENNAMETAL;HSK-A63;38.1;1.5;30;N/A;N/A;N/A;71.0;15.0;30.23;4;45°;0.12;VHM;Titanium Nitride;Type 3;4_E_15;11;3;8;6;N/A;N/A;2_C_6;N/A;19;tool;Sphere Mill
End Mill;0;0;0;0;1;21GYV368;718.3021.2360;mm;No;SECO;HSK-A63;1.5;0.0591;12;N/A;N/A;N/A;115.59;18.5;32.36;2;30°;3;HSS;Diamond;N/A;5_F_7;8;1;7;0;2_D_10;N/A;N/A;N/A;12;tool;Ball Nose End Mill
Drill;1;1;1;0;0;45PHC660;749.1202.5378;inch;Yes;Niagara Cutter;HSK-A63;31.75;1.25;22;N/A;N/A;N/A;148.0;14.91;20.0;4;45°;N/A;VHM;None;Type 1;3_C_3;11;5;6;8;N/A;N/A;N/A;3_D_3;15;tool;Pilot Drill
Face Mill;1;1;1;0;0;66UUN551;714.7848.6992;mm;Yes;SECO;SK-40;16;0.6299;17;N/A;N/A;N/A;71.0;39.0;60.0;7;N/A;N/A;HSS;Diamond;Type 2;3_C_1;4;0;4;0;5_F_11;N/A;N/A;N/A;33;tool;Face Mill
Drill;1;0;1;1;0;88RLW469;768.7578.1655;inch;No;SECO;HSK-A63;44.45;1.75;33;N/A;N/A;N/A;198.0;26.0;111.0;5;90°;N/A;VHM;Titanium Nitride;Type 1;3_F_15;8;1;7;2;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
End Mill;0;0;1;1;0;51CYC298;710.9496.3049;inch;No;Niagara Cutter;SK-40;15.875;0.625;26;N/A;N/A;N/A;66.0;15.77;42.0;2;30°;0.03;VHM;Aluminium Titanium Nitride;N/A;4_D_15;7;2;5;4;N/A;N/A;N/A;4_B_8;24;tool;Roughing End Mill
Chamfer Mill;1;0;1;0;0;52OIK456;790.3142.1258;inch;Yes;Sandvik;SK-40;6.35;0.25;23;N/A;N/A;N/A;58.61;10.0;30.38;5;45°;N/A;HSS;Aluminium Titanium Nitride;Type 3;4_A_5;10;4;6;2;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Chamfer Mill;0;0;0;0;1;73NLG253;721.1115.6624;inch;No;Niagara Cutter;SK-40;3.175;0.125;44;N/A;N/A;N/A;118.0;61.64;92.02;3;90°;0.12;HSS;Diamond;Type 2;4_F_5;10;3;7;6;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Drill;1;1;1;1;0;79RRE626;724.6160.1923;mm;No;Sandvik;HSK-A63;2.5;0.0984;44;N/A;N/A;N/A;137.47;18.82;130.85;2;30°;0.4;HSS;None;N/A;2_B_10;4;2;2;1;N/A;N/A;N/A;N/A;0;tool;Modular Drill
Thread Tap;1;1;0;0;0;98HPT785;797.6728.6643;mm;No;Garant;SK-40;5;0.1969;34;M8;N/A;N/A;153.0;52.69;109.98;6;90°;N/A;VHM;Diamond;Type 1;3_D_13;4;3;1;1;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
T-Slot Mill;1;1;1;1;0;30HQL563;727.5201.8835;inch;Yes;Niagara Cutter;SK-40;25.4;1;50;N/A;6;6.7986;176.0;49.0;139.69;3;30°;0.12;HSS;Titanium Nitride;Type 2;4_E_1;5;1;4;4;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Sphere Mill;1;0;1;1;0;98HLN459;705.2261.9381;mm;Yes;Sandvik;HSK-A63;5;0.1969;36;N/A;N/A;N/A;195.0;78.38;159.0;7;N/A;N/A;HSS;None;Type 2;1_C_10;9;0;9;4;N/A;1_E_12;N/A;N/A;46;tool;Sphere Mill
Face Mill;1;0;1;1;0;34OOI128;761.7394.2195;inch;Yes;Niagara Cutter;SK-40;12.7;0.5;48;N/A;N/A;N/A;197.47;23.45;176.98;3;30°;0.03;VHM;None;N/A;4_A_15;4;3;1;1;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Chamfer Mill;0;0;0;0;1;21NCS749;706.1755.7489;mm;No;Sandvik;SK-40;6;0.2362;15;N/A;N/A;N/A;155.5;78.2;122.0;4;N/A;N/A;VHM;Diamond;Type 2;3_F_3;2;1;1;2;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Face Mill;0;0;0;0;1;98LNN312;762.1967.2393;inch;Yes;SECO;SK-40;50.8;2;28;N/A;N/A;N/A;189.0;20.0;39.0;10;45°;0.06;VHM;None;N/A;4_E_4;5;2;3;0;N/A;N/A;N/A;N/A;0;tool;Face Mill
Thread Tap;1;0;0;1;0;74LEI940;761.4894.7495;inch;Yes;Garant;HSK-A63;19.05;0.75;41;M6;N/A;N/A;185.0;30.73;137.0;4;30°;N/A;VHM;None;Type 3;4_F_3;5;3;2;3;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Face Mill;0;0;0;0;1;52QMZ953;745.8455.3969;inch;Yes;Garant;SK-40;3.175;0.125;44;N/A;N/A;N/A;136.25;36.0;80.03;9;N/A;N/A;VHM;Titanium Nitride;N/A;3_E_7;5;4;1;3;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Thread Tap;1;1;1;0;0;40GQR674;742.8238.9037;inch;Yes;SECO;SK-40;50.8;2;27;M8;N/A;N/A;159.0;42.0;64.0;5;45°;0.12;VHM;Titanium Nitride;N/A;5_A_5;6;2;4;5;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Face Mill;0;0;0;0;1;52KSN548;715.2205.5148;inch;Yes;Garant;HSK-A63;44.45;1.75;17;N/A;N/A;N/A;126.0;24.58;40.0;1;N/A;N/A;HSS;None;N/A;6_C_12;11;1;10;7;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Sphere Mill;0;0;0;1;0;90FND657;744.9314.6664;inch;No;Garant;HSK-A63;50.8;2;37;N/A;N/A;N/A;130.71;14.0;43.99;1;90°;0.12;HSS;Aluminium Titanium Nitride;Type 1;1_E_4;13;4;9;1;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
T-Slot Mill;0;0;1;0;0;46GUN772;710.8310.3594;mm;No;KENNAMETAL;HSK-A63;3;0.1181;33;N/A;7;6.5131;51.0;19.0;22.62;3;30°;N/A;HSS;Titanium Nitride;Type 1;4_B_9;10;0;10;10;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Sphere Mill;1;1;0;0;0;85TWB752;775.7090.6162;mm;No;KENNAMETAL;HSK-A63;3.5;0.1378;17;N/A;N/A;N/A;67.82;17.6;50.19;3;N/A;N/A;HSS;Titanium Nitride;Type 1;5_F_15;1;0;1;1;N/A;N/A;1_A_11;N/A;10;tool;Sphere Mill
Thread Tap;0;0;0;0;1;42LUB923;766.3462.6622;mm;Yes;Niagara Cutter;SK-40;16;0.6299;36;2-56;N/A;N/A;135.25;10.12;89.53;7;45°;N/A;HSS;None;Type 2;6_A_5;13;3;10;2;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
T-Slot Mill;0;0;0;0;1;67JOJ532;715.3584.3006;inch;Yes;Garant;SK-40;25.4;1;18;N/A;17;14.4575;81.88;12.38;25.0;3;N/A;N/A;VHM;Titanium Nitride;Type 2;2_A_1;4;1;3;1;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Chamfer Mill;0;1;0;0;0;78KKY172;765.7035.1481;mm;Yes;Sandvik;HSK-A63;8;0.315;13;N/A;N/A;N/A;147.0;20.0;75.86;8;N/A;2;VHM;Titanium Nitride;N/A;2_E_3;6;3;3;4;N/A;1_A_15;N/A;N/A;49;tool;Double-sided Chamfer Mill
Sphere Mill;1;0;1;0;0;86UIP755;756.7913.4166;inch;Yes;Sandvik;SK-40;44.45;1.75;20;N/A;N/A;N/A;68.72;17.0;36.44;9;90°;0.12;HSS;Diamond;N/A;5_C_2;8;2;6;8;N/A;2_B_7;N/A;N/A;11;tool;Sphere Mill
End Mill;0;0;0;0;1;60HPI557;758.1888.1993;mm;Yes;SECO;SK-40;2;0.0787;46;N/A;N/A;N/A;177.47;22.3;35.0;8;30°;3;HSS;Titanium Nitride;N/A;6_D_9;3;2;1;1;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
T-Slot Mill;0;0;0;0;1;16FYT327;753.7051.6535;inch;No;SECO;HSK-A63;15.875;0.625;40;N/A;5;6.8416;149.0;30.0;71.65;5;30°;0.12;VHM;Titanium Nitride;Type 3;4_C_9;10;4;6;2;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Chamfer Mill;0;0;0;1;0;39VOP374;788.7510.7236;inch;No;KENNAMETAL;SK-40;25.4;1;38;N/A;N/A;N/A;101.0;23.0;24.55;9;N/A;0.12;VHM;Diamond;N/A;5_E_10;7;2;5;6;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Chamfer Mill;0;0;0;0;1;23VHA755;769.1235.2773;mm;No;Sandvik;HSK-A63;1;0.0394;18;N/A;N/A;N/A;105.0;17.0;33.0;4;N/A;N/A;VHM;Titanium Nitride;Type 3;5_B_14;7;3;4;7;N/A;2_A_8;N/A;N/A;19;tool;Double-sided Chamfer Mill
Chamfer Mill;1;1;0;1;0;81XPK850;752.9635.8498;mm;Yes;Sandvik;HSK-A63;10;0.3937;46;N/A;N/A;N/A;105.0;14.0;98.62;2;45°;N/A;HSS;None;N/A;2_F_14;12;3;9;9;N/A;3_B_4;N/A;N/A;26;tool;Double-sided Chamfer Mill
Sphere Mill;1;1;1;0;0;90LDB794;797.6662.3330;mm;No;SECO;HSK-A63;2;0.0787;14;N/A;N/A;N/A;62.0;25.08;54.09;6;45°;N/A;VHM;Titanium Nitride;Type 2;1_C_4;13;5;8;0;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Drill;1;1;0;1;0;57XWC829;739.2652.9130;inch;Yes;Sandvik;HSK-A63;19.05;0.75;26;N/A;N/A;N/A;105.0;48.4;90.48;6;30°;0.06;VHM;Titanium Nitride;N/A;6_D_9;11;5;6;8;N/A;N/A;N/A;N/A;0;tool;Modular Drill
T-Slot Mill;1;1;1;0;0;87AQX291;774.8307.9250;mm;Yes;SECO;SK-40;2;0.0787;13;N/A;20;14.2218;79.16;29.0;45.0;9;45°;N/A;VHM;Titanium Nitride;Type 2;4_E_5;7;5;2;7;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Chamfer Mill;0;0;0;0;1;10VZD732;786.5503.1247;mm;No;KENNAMETAL;HSK-A63;2;0.0787;29;N/A;N/A;N/A;153.74;67.0;87.21;8;90°;N/A;VHM;None;Type 2;4_C_2;10;2;8;3;N/A;N/A;3_F_12;N/A;39;tool;Double-sided Chamfer Mill
T-Slot Mill;1;1;0;0;0;66TDO483;701.3799.9352;inch;No;SECO;HSK-A63;44.45;1.75;30;N/A;8;8.3152;183.0;43.0;62.98;10;45°;N/A;HSS;Diamond;Type 3;5_A_12;10;3;7;5;5_D_7;N/A;N/A;N/A;49;tool;Radius T-Slot Mill
Sphere Mill;0;0;0;0;1;35BEZ224;725.2951.3204;inch;Yes;Garant;HSK-A63;31.75;1.25;19;N/A;N/A;N/A;178.51;126.0;127.93;6;30°;N/A;VHM;None;Type 3;3_E_14;8;5;3;5;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Drill;0;0;0;0;1;44PGJ601;793.8279.3958;mm;No;Garant;HSK-A63;20;0.7874;36;N/A;N/A;N/A;168.65;93.0;127.0;6;90°;N/A;HSS;Diamond;Type 3;2_C_5;10;1;9;2;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Thread Tap;0;0;0;0;1;54WSJ943;781.9981.4658;inch;Yes;Garant;HSK-A63;3.175;0.125;28;M3;N/A;N/A;106.84;34.07;89.21;10;90°;0.03;HSS;Aluminium Titanium Nitride;Type 3;3_F_15;3;0;3;2;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Thread Tap;1;0;1;0;0;84KXC245;741.9588.6010;mm;Yes;Garant;SK-40;3;0.1181;35;M8;N/A;N/A;138.0;46.74;68.0;8;N/A;0.4;VHM;Diamond;Type 3;2_D_12;6;4;2;1;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Chamfer Mill;0;0;0;0;1;34ECE493;795.4029.7372;mm;No;Garant;HSK-A63;2;0.0787;32;N/A;N/A;N/A;185.38;11.0;131.0;9;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 2;1_D_11;4;0;4;4;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Chamfer Mill;0;0;1;1;0;62KDS308;714.2274.8752;inch;No;Niagara Cutter;HSK-A63;9.525;0.375;10;N/A;N/A;N/A;120.66;38.0;79.99;5;45°;N/A;HSS;Aluminium Titanium Nitride;Type 1;5_D_15;5;4;1;5;N/A;N/A;N/A;2_C_14;43;tool;Double-sided Chamfer Mill
Thread Tap;1;1;1;1;0;45KKG394;748.8590.1207;inch;No;Niagara Cutter;HSK-A63;25.4;1;33;M12;N/A;N/A;198.7;23.91;40.0;10;30°;N/A;HSS;Aluminium Titanium Nitride;Type 3;4_A_8;7;5;2;5;N/A;N/A;N/A;1_D_5;11;tool;Thru-hole Thread Tap
Sphere Mill;0;0;0;0;1;29SHW354;746.5703.5953;inch;Yes;Niagara Cutter;SK-40;31.75;1.25;26;N/A;N/A;N/A;152.55;14.0;22.0;4;45°;N/A;VHM;Aluminium Titanium Nitride;Type 1;5_A_11;8;1;7;3;N/A;N/A;N/A;3_F_5;12;tool;Sphere Mill
T-Slot Mill;0;0;0;0;1;40EZT603;783.7035.7102;inch;No;Sandvik;SK-40;19.05;0.75;12;N/A;6;11.8051;68.0;12.0;32.0;2;N/A;N/A;HSS;Diamond;N/A;4_A_15;6;5;1;1;N/A;5_C_1;N/A;N/A;42;tool;Radius T-Slot Mill
Thread Tap;1;1;1;1;0;88XFK488;788.4774.4520;inch;Yes;SECO;SK-40;44.45;1.75;33;2-56;N/A;N/A;108.61;18.0;54.51;4;30°;0.12;VHM;Diamond;Type 2;4_E_1;7;2;5;6;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
End Mill;0;0;0;0;1;50PMT923;783.9423.9484;mm;Yes;KENNAMETAL;HSK-A63;8;0.315;47;N/A;N/A;N/A;62.0;17.0;23.0;6;30°;N/A;HSS;Titanium Nitride;Type 1;6_B_13;5;3;2;3;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Face Mill;0;0;0;0;1;33GFT150;781.3709.8455;mm;No;Garant;HSK-A63;1.5;0.0591;30;N/A;N/A;N/A;124.0;56.0;66.0;8;90°;1;HSS;None;Type 2;6_E_15;14;4;10;11;N/A;N/A;N/A;N/A;0;tool;Face Mill
Face Mill;0;0;0;0;1;81QAS810;758.3784.2605;inch;No;Garant;SK-40;6.35;0.25;22;N/A;N/A;N/A;131.0;25.0;40.66;8;30°;N/A;HSS;Aluminium Titanium Nitride;Type 3;2_A_3;9;5;4;6;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Thread Tap;0;0;1;1;0;48GBZ633;704.6823.8695;inch;Yes;SECO;HSK-A63;12.7;0.5;46;M8;N/A;N/A;117.0;31.66;58.1;7;90°;0.03;VHM;None;N/A;3_E_15;1;1;0;1;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Sphere Mill;0;0;0;0;1;90LQM159;780.5196.4406;inch;Yes;Garant;HSK-A63;9.525;0.375;49;N/A;N/A;N/A;79.22;19.0;58.27;1;N/A;N/A;VHM;None;Type 2;4_F_1;9;5;4;2;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Sphere Mill;1;1;1;0;0;65HEP984;768.2906.1967;mm;No;Garant;HSK-A63;3.5;0.1378;21;N/A;N/A;N/A;85.6;17.0;39.53;1;N/A;0.4;HSS;None;Type 2;4_F_7;3;2;1;0;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Face Mill;1;1;1;1;0;18IMV404;753.1580.9076;mm;No;Niagara Cutter;HSK-A63;10;0.3937;16;N/A;N/A;N/A;180.0;18.82;84.0;7;45°;3;HSS;Titanium Nitride;Type 2;6_C_1;12;2;10;9;N/A;N/A;N/A;N/A;0;tool;Face Mill
Chamfer Mill;0;0;0;0;0;24LGV360;761.6528.7998;mm;Yes;Sandvik;HSK-A63;20;0.7874;30;N/A;N/A;N/A;163.28;23.11;131.92;4;90°;N/A;HSS;Aluminium Titanium Nitride;Type 1;4_A_3;7;2;5;6;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Drill;0;0;0;0;1;91OKM897;744.5434.5528;inch;Yes;SECO;HSK-A63;25.4;1;40;N/A;N/A;N/A;144.0;15.0;48.27;3;90°;N/A;HSS;Titanium Nitride;Type 3;2_C_10;6;5;1;1;1_D_7;N/A;N/A;N/A;30;tool;Pilot Drill
Sphere Mill;1;0;0;1;0;77QVX827;721.3028.9331;inch;Yes;Garant;SK-40;50.8;2;40;N/A;N/A;N/A;165.0;82.25;155.0;2;90°;0.06;HSS;Aluminium Titanium Nitride;Type 3;1_C_4;6;3;3;0;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Face Mill;0;1;1;1;0;10KEF404;728.5634.7341;inch;No;Sandvik;SK-40;50.8;2;16;N/A;N/A;N/A;171.8;13.0;37.0;5;90°;0.06;HSS;Aluminium Titanium Nitride;Type 3;1_E_6;8;5;3;8;N/A;2_A_6;N/A;N/A;39;tool;Face Mill
Thread Tap;0;0;0;0;1;58TIJ532;762.8226.6512;inch;No;KENNAMETAL;SK-40;15.875;0.625;15;M3;N/A;N/A;58.11;24.0;37.75;1;N/A;N/A;HSS;Aluminium Titanium Nitride;Type 2;4_C_12;11;5;6;7;N/A;N/A;5_F_7;N/A;27;tool;Blind Hole Thread Tap
T-Slot Mill;1;0;0;0;0;92QNK905;798.6664.4676;inch;Yes;KENNAMETAL;HSK-A63;25.4;1;50;N/A;7;12.5336;150.0;78.0;95.0;10;45°;N/A;HSS;None;N/A;2_D_6;5;5;0;4;N/A;N/A;1_B_6;N/A;19;tool;T-Slot Mill
Drill;0;0;0;0;1;79UWG615;766.8193.2076;inch;No;KENNAMETAL;SK-40;31.75;1.25;16;N/A;N/A;N/A;139.82;15.0;23.53;7;45°;0.12;HSS;Aluminium Titanium Nitride;Type 3;1_E_14;12;4;8;6;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Sphere Mill;0;0;0;0;1;18GWW607;789.8242.8626;mm;Yes;Garant;SK-40;2;0.0787;19;N/A;N/A;N/A;113.38;59.58;98.0;6;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 3;4_C_3;9;1;8;2;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
End Mill;0;0;0;0;1;84HFT458;755.2696.5385;inch;No;KENNAMETAL;SK-40;31.75;1.25;49;N/A;N/A;N/A;136.11;82.19;117.0;8;45°;0.12;VHM;Aluminium Titanium Nitride;Type 1;2_A_12;1;1;0;1;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
End Mill;0;0;0;0;0;30YOU997;716.7984.2924;mm;No;KENNAMETAL;SK-40;10;0.3937;27;N/A;N/A;N/A;65.0;12.0;27.45;8;N/A;N/A;HSS;None;Type 1;4_B_12;15;5;10;2;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
End Mill;0;0;0;0;1;96TJW978;728.8447.8418;mm;No;Niagara Cutter;SK-40;3.5;0.1378;32;N/A;N/A;N/A;72.4;37.0;60.0;4;90°;0.5;HSS;Diamond;N/A;1_E_9;10;5;5;8;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
Thread Tap;0;0;1;1;0;57HQF604;793.6254.2932;inch;No;KENNAMETAL;SK-40;9.525;0.375;24;M12;N/A;N/A;55.0;20.0;35.84;1;45°;N/A;VHM;Diamond;N/A;6_A_8;4;4;0;3;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
T-Slot Mill;0;0;0;0;1;55DYJ642;755.6181.5763;inch;No;Sandvik;HSK-A63;44.45;1.75;10;N/A;13;9.7395;55.76;20.27;27.27;9;45°;N/A;VHM;Diamond;Type 3;5_E_8;12;2;10;12;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Thread Tap;1;1;1;1;0;68OFO447;721.6391.9510;inch;No;Garant;HSK-A63;50.8;2;34;0-80;N/A;N/A;195.0;128.64;193.0;10;30°;N/A;VHM;Diamond;N/A;3_C_10;3;3;0;3;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Face Mill;0;0;0;0;1;96FXM774;734.3038.1335;mm;No;Sandvik;HSK-A63;8;0.315;32;N/A;N/A;N/A;88.0;37.23;41.0;10;45°;N/A;VHM;Titanium Nitride;N/A;3_B_14;12;4;8;6;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Sphere Mill;0;0;1;1;0;51OWS619;783.6213.1075;mm;No;Sandvik;SK-40;4.5;0.1772;33;N/A;N/A;N/A;192.09;17.0;88.74;2;N/A;N/A;HSS;None;Type 3;1_A_11;9;0;9;1;N/A;3_A_12;N/A;N/A;7;tool;Sphere Mill
Drill;0;0;0;0;1;25KEN904;780.7582.5870;mm;No;KENNAMETAL;HSK-A63;5;0.1969;15;N/A;N/A;N/A;172.26;26.79;72.0;6;30°;0.5;VHM;Diamond;Type 3;4_B_13;4;3;1;1;N/A;N/A;2_D_3;N/A;27;tool;Modular Drill
End Mill;0;0;0;0;1;79RZX951;732.4327.4050;inch;No;Sandvik;SK-40;25.4;1;40;N/A;N/A;N/A;154.0;15.51;81.0;7;30°;0.06;VHM;Titanium Nitride;Type 1;1_D_8;10;2;8;0;N/A;1_F_3;N/A;N/A;0;tool;Ball Nose End Mill
Face Mill;1;1;0;0;0;43OBL204;729.7353.7989;inch;No;SECO;SK-40;3.175;0.125;34;N/A;N/A;N/A;140.54;94.6;106.0;3;90°;N/A;HSS;Titanium Nitride;N/A;3_E_2;3;3;0;3;N/A;N/A;N/A;N/A;0;tool;Face Mill
T-Slot Mill;1;1;0;0;0;12KYW649;774.7612.6789;mm;Yes;SECO;SK-40;16;0.6299;46;N/A;8;5.1453;73.83;41.0;55.0;1;45°;N/A;VHM;Aluminium Titanium Nitride;Type 2;2_B_12;13;3;10;9;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Sphere Mill;0;1;1;0;0;17HAF851;720.3449.4166;inch;Yes;KENNAMETAL;SK-40;9.525;0.375;40;N/A;N/A;N/A;162.69;51.13;135.45;4;90°;0.12;HSS;Aluminium Titanium Nitride;Type 1;5_C_13;5;2;3;5;N/A;N/A;3_D_3;N/A;40;tool;Sphere Mill
Drill;0;0;0;0;1;56LAC393;761.6019.4270;mm;No;Sandvik;SK-40;10;0.3937;22;N/A;N/A;N/A;80.0;28.12;43.0;1;N/A;N/A;HSS;Aluminium Titanium Nitride;Type 1;6_A_10;12;2;10;2;N/A;4_E_8;N/A;N/A;44;tool;Flat-end Drill
End Mill;0;0;0;0;1;73EZX193;753.4722.9350;mm;No;SECO;SK-40;3;0.1181;39;N/A;N/A;N/A;185.0;30.0;138.0;10;30°;N/A;HSS;None;Type 2;4_F_1;9;0;9;4;1_E_15;N/A;N/A;N/A;3;tool;Variable Helix End Mill
End Mill;0;0;0;1;0;75BAS748;764.2458.1230;mm;No;SECO;SK-40;6;0.2362;10;N/A;N/A;N/A;150.0;42.36;90.0;4;45°;0.3;HSS;None;Type 3;4_A_8;6;1;5;3;6_D_2;N/A;N/A;N/A;9;tool;Chamfer Ended End Mill
Drill;0;0;1;0;0;76FFY450;731.6213.3813;mm;Yes;KENNAMETAL;HSK-A63;2.5;0.0984;15;N/A;N/A;N/A;103.0;42.0;71.0;10;N/A;N/A;HSS;None;Type 1;3_B_13;12;2;10;5;N/A;N/A;6_B_10;N/A;7;tool;Flat-end Drill
Face Mill;0;0;0;0;1;30FXV298;716.4752.5912;mm;Yes;KENNAMETAL;HSK-A63;1;0.0394;37;N/A;N/A;N/A;146.99;65.0;104.93;5;90°;0.5;HSS;Diamond;N/A;4_C_12;10;3;7;9;N/A;N/A;N/A;N/A;0;tool;Face Mill
Thread Tap;1;1;0;0;0;16KHV722;790.2212.7541;mm;Yes;SECO;HSK-A63;10;0.3937;31;2-56;N/A;N/A;82.0;19.0;21.71;10;90°;N/A;VHM;Diamond;Type 2;3_E_14;10;3;7;8;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Chamfer Mill;1;0;1;1;0;96SBI130;786.8981.2811;inch;No;Sandvik;SK-40;3.175;0.125;16;N/A;N/A;N/A;151.0;73.51;88.45;6;N/A;N/A;VHM;Titanium Nitride;Type 1;2_E_11;3;1;2;0;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Sphere Mill;1;0;0;1;0;57PJT219;797.1170.5338;inch;No;KENNAMETAL;HSK-A63;9.525;0.375;11;N/A;N/A;N/A;193.23;63.6;112.0;1;N/A;0.06;VHM;None;Type 2;2_C_15;2;0;2;0;N/A;N/A;4_C_6;N/A;30;tool;Sphere Mill
End Mill;0;0;0;0;1;59ERK903;792.5742.3264;mm;Yes;Garant;HSK-A63;2;0.0787;41;N/A;N/A;N/A;61.66;31.14;34.04;6;90°;0.3;HSS;Diamond;Type 3;5_D_2;6;3;3;4;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
T-Slot Mill;0;0;0;0;1;65ZKZ688;737.2605.2545;inch;Yes;Garant;HSK-A63;50.8;2;11;N/A;8;12.282;84.0;25.33;30.0;9;N/A;0.03;HSS;None;Type 3;4_B_13;5;1;4;4;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
End Mill;0;0;0;0;1;55UBW686;761.1222.5734;inch;No;Garant;HSK-A63;31.75;1.25;43;N/A;N/A;N/A;121.86;88.96;102.0;7;90°;N/A;VHM;Diamond;Type 3;2_A_15;9;2;7;4;N/A;N/A;N/A;N/A;0;tool;Ball Nose End Mill
Drill;0;0;0;0;1;79IUU732;748.5114.1289;mm;No;SECO;HSK-A63;3;0.1181;45;N/A;N/A;N/A;135.0;37.89;43.0;2;45°;3;HSS;Aluminium Titanium Nitride;N/A;2_F_11;9;1;8;1;N/A;N/A;N/A;N/A;0;tool;Modular Drill
Sphere Mill;0;0;0;0;0;39RMV360;721.1288.1353;mm;Yes;Niagara Cutter;SK-40;2;0.0787;38;N/A;N/A;N/A;179.08;21.72;26.64;9;45°;2;HSS;Diamond;Type 3;1_B_15;10;3;7;8;N/A;N/A;N/A;3_F_6;0;tool;Sphere Mill
Drill;0;0;0;1;0;19YIA930;727.5894.8885;inch;Yes;Garant;HSK-A63;9.525;0.375;27;N/A;N/A;N/A;67.12;25.0;61.5;8;30°;N/A;VHM;Aluminium Titanium Nitride;Type 3;4_E_7;4;4;0;0;N/A;N/A;N/A;N/A;0;tool;Modular Drill
Drill;1;1;0;1;0;22MBV453;747.2523.6005;inch;Yes;SECO;HSK-A63;15.875;0.625;11;N/A;N/A;N/A;124.98;79.0;91.22;1;30°;N/A;HSS;None;Type 2;2_B_15;7;5;2;5;6_F_12;N/A;N/A;N/A;37;tool;Pilot Drill
